,date_np,minutesAsleep,minutesAwake,weekend,sed_min,va_min,ma_min,ls_min,sum,pred
420,2016-07-16,298,27,True,590,53,62,232,8513,True
421,2016-07-17,513,25,True,779,31,18,228,11798,False
422,2016-07-18,922,134,False,733,0,0,111,3384,False
423,2016-07-19,428,26,False,786,33,18,133,7807,False
424,2016-07-20,488,45,False,717,6,15,191,9522,False
425,2016-07-21,434,30,False,849,8,3,194,7510,False
426,2016-07-22,433,22,False,764,11,12,182,9810,False
427,2016-07-23,337,26,True,718,107,75,190,22796,False
428,2016-07-24,383,27,True,771,17,27,215,6129,False
429,2016-07-25,330,29,False,797,69,40,175,15347,False
430,2016-07-26,383,44,False,746,20,27,220,10213,False
431,2016-07-27,360,37,False,799,18,20,138,7928,False
432,2016-07-28,420,59,False,905,0,0,122,4712,False
433,2016-07-29,375,33,False,774,36,24,197,8896,False
434,2016-07-30,201,24,True,965,16,24,210,7696,True
435,2016-07-31,329,27,True,907,20,6,151,9460,False
436,2016-08-01,297,29,False,880,20,23,190,6528,True
437,2016-08-02,308,17,False,925,0,0,183,4354,False
438,2016-08-03,457,42,False,771,0,0,170,4400,False
439,2016-08-04,430,19,False,840,4,4,142,3979,False
440,2016-08-05,523,48,False,728,0,0,136,3754,False
441,2016-08-13,371,48,True,782,36,36,164,11263,False
442,2016-08-15,344,30,False,864,25,20,157,9253,False
443,2016-08-17,608,70,False,887,11,10,174,7318,False
444,2016-08-18,391,20,False,727,54,50,217,15677,False
445,2016-08-19,216,5,False,823,47,43,211,13509,False
446,2016-08-20,527,57,True,744,26,27,142,8524,False
447,2016-08-21,230,31,True,942,28,43,131,9635,False
448,2016-08-22,409,33,False,700,55,65,126,13656,False
449,2016-08-23,437,12,False,752,39,35,188,12198,False
450,2016-08-24,373,50,False,704,41,49,218,14079,False
451,2016-08-25,406,53,False,806,24,33,177,12470,False
452,2016-08-26,309,16,False,773,31,26,285,14402,False
453,2016-08-27,370,53,True,558,84,77,298,25495,False
454,2016-08-28,327,53,True,665,50,45,264,11582,False
455,2016-08-29,406,30,False,681,15,6,202,9195,False
456,2016-08-30,461,69,False,671,56,41,166,14624,False
457,2016-08-31,430,47,False,762,10,30,170,8208,False
458,2016-09-01,387,41,False,694,34,30,275,13850,False
459,2016-09-02,430,40,False,660,7,43,180,9106,False
460,2016-09-03,509,64,True,735,14,22,176,10381,False
461,2016-09-05,349,28,False,890,0,9,131,3231,False
462,2016-09-06,394,50,False,607,54,76,250,18461,False
463,2016-09-07,336,38,False,842,12,22,195,8109,False
464,2016-09-08,416,26,False,693,95,27,244,21477,False
465,2016-09-09,291,23,False,873,27,22,187,9366,False
466,2016-09-11,270,42,True,945,23,22,138,7800,False
467,2016-09-12,375,31,False,854,8,30,142,7481,False
468,2016-09-13,330,40,False,650,59,69,199,17982,False
469,2016-09-14,460,48,False,777,22,16,113,7255,False
470,2016-09-15,428,21,False,757,33,30,154,11896,False
471,2016-09-16,932,136,False,838,10,24,138,9341,False
472,2016-09-17,344,39,True,581,58,96,318,22157,False
473,2016-09-18,324,15,True,879,12,21,188,6743,False
474,2016-09-19,442,34,False,777,12,18,150,7249,False
475,2016-09-20,366,20,False,742,21,59,221,13098,False
476,2016-09-21,294,11,False,769,45,24,169,12242,False
477,2016-09-22,487,8,False,767,18,18,170,8089,False
478,2016-09-23,378,37,False,770,61,36,183,13828,False
479,2016-09-24,428,21,True,549,123,77,320,31431,True
480,2016-09-25,378,51,True,845,0,0,133,1650,True
481,2016-09-26,451,42,False,685,15,31,150,8857,False
482,2016-09-27,311,30,False,729,87,36,300,23797,False
483,2016-09-28,389,29,False,783,18,27,173,10055,False
484,2016-09-29,408,32,False,719,91,38,215,20304,False
485,2016-10-01,404,13,True,703,71,78,220,21902,False
486,2016-10-02,335,26,True,856,4,15,204,4659,False
487,2016-10-03,338,26,False,776,32,21,182,11544,False
488,2016-10-04,420,25,False,654,88,53,207,22204,False
489,2016-10-05,370,30,False,904,5,12,173,9317,False
490,2016-10-06,310,11,False,751,102,50,177,17462,False
491,2016-10-07,369,44,False,838,18,13,196,8287,False
